"species","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,NA
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,NA
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,NA,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,NA,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,NA
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,NA,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
2,48.8501003989922,18.6256052621986,196.666581828009,3853,2
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
3,47.5092764592533,14.80913581401,215.891096642453,4992.34636904762,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
1,38.7807853996731,18.3703680225773,188.10134100064,3689.97,1
